<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.11.13	20.10	20.11	19.56	19.68	3469	0	0
2012.11.14	19.70	22.57	19.60	22.57	7131	0	0
2012.11.15	22.33	23.00	21.65	22.24	4538	0	0
2012.11.16	22.10	23.93	22.00	23.70	4324	0	0
2012.11.19	23.84	24.42	22.82	22.92	4599	0	0
2012.11.20	22.85	23.50	22.70	23.22	3016	0	0
2012.11.21	23.22	24.53	23.05	24.45	3699	0	0
2012.11.23	24.26	24.77	23.88	23.95	2289	0	0
2012.11.26	24.01	26.09	24.01	26.03	5026	0	0
2012.11.27	26.25	26.62	25.46	26.08	4920	0	0
2012.11.28	26.14	26.49	25.71	26.34	3579	0	0
2012.11.29	26.50	27.52	26.16	27.21	4085	0	0
2012.11.30	27.17	28.11	26.76	28.11	4094	0	0
2012.12.03	28.18	28.88	26.91	26.94	5534	0	0
2012.12.04	27.15	27.76	26.68	27.46	4575	0	0
2012.12.05	27.46	28.14	27.26	27.65	4269	0	0
2012.12.06	27.80	27.80	26.82	26.94	3242	0	0
2012.12.07	26.97	27.78	26.84	27.47	3497	0	0
2012.12.10	27.39	28.17	27.10	27.89	2772	0	0
2012.12.11	27.80	28.24	27.66	27.97	3189	0	0
2012.12.12	27.99	28.25	27.37	27.53	3098	0	0
2012.12.13	27.50	28.75	27.43	28.34	4202	0	0
2012.12.14	28.35	28.58	26.75	26.76	4202	0	0
2012.12.17	26.80	27.09	26.32	26.83	3362	0	0
2012.12.18	26.89	27.91	26.79	27.75	3111	0	0
2012.12.19	27.88	28.22	26.95	27.34	3665	0	0
2012.12.20	27.49	27.73	27.13	27.35	2564	0	0
2012.12.21	27.11	27.11	26.12	26.35	3377	0	0
2012.12.24	26.40	26.96	26.20	26.93	2049	0	0
2012.12.26	27.03	27.34	26.38	26.53	2758	0	0
2012.12.27	26.60	26.81	25.52	26.06	3490	0	0
2012.12.28	26.00	26.11	25.15	25.85	3810	0	0
2012.12.31	25.82	26.99	25.82	26.68	3611	0	0
2013.01.02	26.89	28.18	26.63	27.91	3806	0	0
2013.01.03	27.92	28.47	27.03	27.77	3797	0	0
2013.01.04	27.87	28.93	27.77	28.78	3474	0	0
2013.01.07	28.60	29.79	28.60	29.48	3522	0	0
2013.01.08	30.00	30.00	28.86	29.29	3106	0	0
2013.01.09	29.30	30.68	29.26	30.46	4226	0	0
2013.01.10	30.77	31.45	30.28	31.32	4091	0	0
2013.01.11	31.20	31.96	30.92	31.79	4447	0	0
2013.01.14	31.84	32.67	30.62	31.07	5631	0	0
2013.01.15	31.25	31.71	29.88	30.09	8670	0	0
2013.01.16	29.96	30.47	29.53	30.02	4086	0	0
2013.01.17	29.90	30.42	29.85	30.19	2659	0	0
2013.01.18	30.25	30.44	29.27	29.63	2813	0	0
2013.01.22	29.50	31.25	29.50	31.07	3902	0	0
2013.01.23	31.20	31.50	30.45	30.66	3637	0	0
2013.01.24	30.70	31.49	30.70	31.14	3323	0	0
2013.01.25	31.15	31.93	31.13	31.49	3017	0	0
2013.01.28	31.75	32.68	31.54	32.68	3539	0	0
2013.01.29	32.40	32.69	30.71	31.03	4749	0	0
2013.01.30	31.17	32.17	27.90	30.17	9455	0	0
2013.01.31	30.26	31.47	28.74	30.99	8049	0	0
2013.02.01	30.97	31.44	29.63	29.70	4488	0	0
2013.02.04	29.56	29.64	27.93	27.96	4450	0	0
2013.02.05	28.24	28.96	28.04	28.80	3546	0	0
2013.02.06	29.00	29.29	28.50	29.05	3026	0	0
2013.02.07	29.08	29.44	28.27	28.72	3201	0	0
2013.02.08	28.74	29.17	28.51	28.58	2620	0	0
2013.02.11	28.70	28.80	27.51	27.52	3569	0	0
2013.02.12	27.55	28.30	27.10	27.44	4326	0	0
2013.02.13	27.32	28.32	27.31	28.07	3277	0	0
2013.02.14	28.00	28.63	27.77	28.58	2740	0	0
2013.02.15	28.58	28.75	28.09	28.21	2654	0	0
2013.02.19	28.24	29.08	28.11	28.97	2729	0	0
2013.02.20	28.99	29.10	28.33	28.50	3294	0	0
2013.02.21	28.46	28.55	27.15	27.42	3540	0	0
2013.02.22	27.43	27.73	26.82	27.05	3049	0	0
2013.02.25	27.15	27.64	27.10	27.30	2845	0	0
2013.02.26	27.25	27.46	26.70	27.29	3032	0	0
2013.02.27	27.47	27.47	26.63	26.83	3167	0	0
2013.02.28	26.91	27.30	26.34	27.15	3355	0	0
2013.03.01	27.10	28.03	26.81	27.84	3233	0	0
2013.03.04	27.75	28.06	27.44	27.75	2955	0	0
2013.03.05	27.85	28.18	27.21	27.77	3180	0	0
2013.03.06	27.79	28.13	27.35	27.46	3024	0	0
2013.03.07	27.50	28.68	27.46	28.45	3988	0	0
2013.03.08	28.75	28.82	27.73	27.97	2817	0	0
2013.03.11	27.91	28.64	27.83	28.15	2688	0	0
2013.03.12	28.15	28.32	27.60	27.81	2455	0	0
2013.03.13	27.83	27.83	26.92	27.04	2819	0	0
2013.03.14	27.15	27.43	26.83	27.01	2277	0	0
2013.03.15	27.12	27.17	26.56	26.63	1927	0	0
2013.03.18	26.52	26.79	25.78	26.58	2690	0	0
2013.03.19	26.60	26.90	26.21	26.46	2451	0	0
2013.03.20	26.55	26.73	25.78	25.81	2593	0	0
2013.03.21	25.95	26.10	25.56	25.77	2306	0	0
2013.03.22	25.80	26.01	25.63	25.76	1908	0	0
2013.03.25	25.74	26.10	25.05	25.05	2805	0	0
2013.03.26	25.04	25.48	25.01	25.24	2293	0	0
2013.03.27	25.15	26.28	24.72	26.10	3231	0	0
2013.03.28	26.11	26.26	25.52	25.60	2358	0	0
2013.04.01	25.58	25.89	25.28	25.52	2345	0	0
2013.04.02	25.65	26.12	25.30	25.43	2606	0	0
2013.04.03	25.49	26.39	25.42	26.25	3060	0	0
2013.04.04	26.40	27.23	26.11	27.15	4374	0	0
2013.04.05	27.30	27.80	26.61	27.36	3709	0	0
2013.04.08	27.53	27.55	26.63	26.82	2539	0	0
2013.04.09	26.93	26.95	26.23	26.77	2517	0	0
2013.04.10	26.90	27.84	26.59	27.55	3279	0	0
